District,Location,Latitude,Longitude,Lithology,Aquifer_Type,Expected_WBZ_Depth_m,Water_Level_m,Expected_Discharge_LPM,pH,EC_uS_cm,Hardness_mg_L,Nitrate_mg_L,Fluoride_mg_L,Recommended_Drilling,Well_Suitability,Expected_Water_Quality
Prakasam,Site-0001,16.138,82.4809,Alluvium,Semi-confined,115,8.69,433,8.06,750,220,99,1.82,Down-the-Hole,Not Suitable,Moderate
Guntur,Site-0002,16.1431,78.8406,Limestone,Unconfined,284,10.19,234,6.61,1959,680,22,0.86,Down-the-Hole,Suitable,Good
West Godavari,Site-0003,17.0447,77.8073,Alluvium,Unconfined,52,17.46,56,6.99,1166,472,50,1.86,Percussion Drilling,Not Suitable,Good
East Godavari,Site-0004,17.8187,81.9981,Alluvium,Fractured,144,7.79,263,8.33,855,377,10,1.23,Rotary Drilling,Not Suitable,Poor
Anantapur,Site-0005,14.0761,82.6304,Granite,Fractured,65,17.79,493,7.06,1930,418,42,0.36,Auger Drilling,Suitable,Good
Prakasam,Site-0006,14.204,80.9466,Sandstone,Confined,267,8.63,302,8.5,1789,300,94,1.82,Percussion Drilling,Not Suitable,Good
Anantapur,Site-0007,18.5944,77.1674,Limestone,Semi-confined,34,19.12,50,8.02,970,414,14,0.57,Percussion Drilling,Not Suitable,Moderate
Krishna,Site-0008,18.7671,83.8079,Basalt,Semi-confined,77,2.79,168,8.29,1264,522,90,1.81,Auger Drilling,Not Suitable,Poor
Chittoor,Site-0009,16.4846,80.538,Alluvium,Fractured,68,12.65,81,7.37,467,342,38,0.67,Down-the-Hole,Not Suitable,Moderate
Prakasam,Site-0010,14.9083,78.9037,Granite,Confined,99,16.04,349,6.72,416,268,58,1.04,Auger Drilling,Not Suitable,Good
East Godavari,Site-0011,15.1497,82.3924,Shale,Semi-confined,267,6.77,111,6.68,1853,411,91,1.45,Rotary Drilling,Not Suitable,Good
Prakasam,Site-0012,13.8899,81.9781,Sandstone,Fractured,292,2.88,203,7.02,556,131,52,1.74,Percussion Drilling,Not Suitable,Good
Krishna,Site-0013,13.6114,82.5567,Granite,Unconfined,61,16.95,163,6.76,1886,510,48,1.44,Rotary Drilling,Suitable,Poor
West Godavari,Site-0014,14.5529,82.6892,Granite,Unconfined,131,18.24,277,8.12,388,439,16,0.28,Auger Drilling,Not Suitable,Good
Kadapa,Site-0015,18.5448,80.0321,Alluvium,Fractured,284,2.53,399,7.35,924,319,24,0.69,Auger Drilling,Suitable,Good
Anantapur,Site-0016,16.6846,81.3188,Alluvium,Semi-confined,285,9.42,331,7.46,379,386,50,0.45,Percussion Drilling,Not Suitable,Poor
East Godavari,Site-0017,14.4949,83.9586,Limestone,Unconfined,225,16.07,233,7.46,1800,596,45,1.84,Down-the-Hole,Suitable,Moderate
Guntur,Site-0018,14.0789,79.2321,Basalt,Unconfined,173,3.05,291,7.56,1770,698,30,1.95,Rotary Drilling,Suitable,Good
Kurnool,Site-0019,14.5992,82.714,Alluvium,Unconfined,142,12.36,458,7.28,1918,277,23,0.63,Down-the-Hole,Suitable,Poor
Prakasam,Site-0020,18.4839,77.1974,Alluvium,Semi-confined,102,12.14,146,8.17,1859,604,70,0.76,Auger Drilling,Not Suitable,Good
Chittoor,Site-0021,13.337,81.2116,Granite,Fractured,30,7.97,364,6.9,467,448,92,0.52,Down-the-Hole,Not Suitable,Good
Anantapur,Site-0022,13.8863,81.9329,Basalt,Unconfined,299,17.49,87,7.25,1556,505,76,0.38,Down-the-Hole,Not Suitable,Moderate
Kadapa,Site-0023,18.8552,82.1265,Shale,Fractured,192,5.14,337,7.89,1456,465,29,1.4,Percussion Drilling,Suitable,Moderate
Guntur,Site-0024,17.404,79.0616,Basalt,Unconfined,230,17.31,444,8.43,266,286,78,0.77,Percussion Drilling,Not Suitable,Poor
West Godavari,Site-0025,13.6247,80.4733,Sandstone,Unconfined,151,8.24,213,6.84,381,786,82,1.51,Down-the-Hole,Not Suitable,Moderate
Anantapur,Site-0026,14.5913,78.7468,Granite,Semi-confined,161,16.17,418,6.5,990,548,94,0.96,Percussion Drilling,Not Suitable,Moderate
Krishna,Site-0027,18.2906,79.4586,Shale,Unconfined,275,16.2,345,7.8,1607,330,21,1.01,Rotary Drilling,Suitable,Moderate
Anantapur,Site-0028,14.9123,83.6616,Granite,Semi-confined,117,17.98,132,7.96,1320,195,44,1.27,Auger Drilling,Suitable,Poor
Anantapur,Site-0029,15.5879,81.5754,Limestone,Fractured,110,2.96,219,6.91,589,519,90,1.2,Down-the-Hole,Not Suitable,Poor
Guntur,Site-0030,14.7844,77.6714,Shale,Fractured,108,2.98,51,7.36,803,777,81,1.28,Percussion Drilling,Not Suitable,Good
Anantapur,Site-0031,14.2417,81.4673,Granite,Fractured,89,7.55,253,7.44,1553,371,12,1.36,Auger Drilling,Suitable,Good
Prakasam,Site-0032,18.313,79.5858,Shale,Unconfined,164,9.92,184,6.95,750,677,8,0.47,Rotary Drilling,Suitable,Good
Prakasam,Site-0033,17.8491,79.8979,Limestone,Confined,61,17.13,469,7.55,1296,586,74,1.79,Auger Drilling,Not Suitable,Moderate
Chittoor,Site-0034,15.3688,82.9776,Granite,Confined,91,19.09,279,6.85,542,316,25,0.43,Auger Drilling,Suitable,Good
Nellore,Site-0035,14.2115,82.7579,Basalt,Semi-confined,193,18.39,463,6.63,994,669,51,1.19,Down-the-Hole,Not Suitable,Poor
Krishna,Site-0036,18.503,77.0865,Alluvium,Fractured,87,9.46,125,7.63,1393,202,14,1.21,Rotary Drilling,Suitable,Moderate
East Godavari,Site-0037,18.2808,83.1453,Sandstone,Fractured,278,12.3,292,6.57,764,512,19,1.31,Auger Drilling,Suitable,Good
Nellore,Site-0038,18.3374,79.3205,Basalt,Unconfined,273,18.58,240,6.54,1874,410,40,0.7,Auger Drilling,Suitable,Poor
Chittoor,Site-0039,18.835,78.5957,Sandstone,Fractured,194,6.85,263,7.71,382,292,57,0.58,Auger Drilling,Not Suitable,Poor
Krishna,Site-0040,17.557,83.0703,Granite,Confined,63,7.6,309,7.31,1798,636,73,0.25,Percussion Drilling,Not Suitable,Good
Anantapur,Site-0041,14.4969,80.1951,Sandstone,Confined,170,8.63,287,7.51,1501,226,88,0.26,Down-the-Hole,Not Suitable,Moderate
West Godavari,Site-0042,15.6766,83.7236,Shale,Semi-confined,206,4.94,182,8.0,1610,192,37,0.25,Rotary Drilling,Suitable,Good
West Godavari,Site-0043,17.679,78.5002,Basalt,Confined,135,6.84,259,7.53,1970,798,2,1.05,Percussion Drilling,Suitable,Poor
Kadapa,Site-0044,16.6069,77.0592,Sandstone,Semi-confined,170,9.63,242,8.2,1140,358,28,1.04,Auger Drilling,Not Suitable,Poor
Chittoor,Site-0045,13.0441,83.996,Sandstone,Semi-confined,182,14.32,296,6.63,766,755,42,1.75,Down-the-Hole,Suitable,Poor
Guntur,Site-0046,14.1302,80.6211,Basalt,Unconfined,236,13.89,398,6.78,252,771,64,2.0,Down-the-Hole,Not Suitable,Moderate
Nellore,Site-0047,15.3296,77.2472,Alluvium,Confined,205,15.08,163,7.87,1507,587,86,0.85,Down-the-Hole,Not Suitable,Good
East Godavari,Site-0048,14.0868,77.6832,Basalt,Semi-confined,123,19.04,221,7.81,655,463,29,1.54,Down-the-Hole,Suitable,Moderate
Prakasam,Site-0049,15.2301,81.099,Shale,Unconfined,270,2.97,374,7.67,1471,172,61,1.8,Rotary Drilling,Not Suitable,Poor
Nellore,Site-0050,16.179,79.8918,Basalt,Confined,132,8.17,341,8.29,1137,246,41,1.75,Percussion Drilling,Not Suitable,Good
Krishna,Site-0051,14.9958,83.9065,Sandstone,Unconfined,32,10.14,157,8.02,545,690,98,0.49,Rotary Drilling,Not Suitable,Good
West Godavari,Site-0052,15.6023,80.0059,Shale,Fractured,226,2.08,323,6.9,964,114,42,1.56,Percussion Drilling,Suitable,Good
Anantapur,Site-0053,16.7601,78.7418,Alluvium,Semi-confined,189,4.32,246,7.51,826,271,9,1.68,Down-the-Hole,Suitable,Moderate
Krishna,Site-0054,17.367,81.1746,Sandstone,Fractured,98,8.17,300,7.22,585,268,52,0.23,Percussion Drilling,Not Suitable,Poor
Kadapa,Site-0055,14.2671,77.1534,Limestone,Confined,93,8.6,383,8.08,968,755,33,1.59,Rotary Drilling,Not Suitable,Poor
Anantapur,Site-0056,16.9718,81.575,Granite,Unconfined,89,9.5,244,6.75,717,585,90,0.48,Rotary Drilling,Not Suitable,Moderate
Nellore,Site-0057,16.97,81.6374,Sandstone,Confined,244,16.95,103,7.52,1465,220,37,0.41,Rotary Drilling,Suitable,Moderate
Kurnool,Site-0058,16.654,82.4457,Limestone,Confined,213,14.66,201,6.82,1322,608,27,1.44,Auger Drilling,Suitable,Moderate
Kurnool,Site-0059,13.0164,81.7014,Granite,Fractured,106,19.09,449,7.52,1681,203,33,1.36,Auger Drilling,Suitable,Moderate
Guntur,Site-0060,15.7857,77.6987,Basalt,Unconfined,178,8.48,396,7.13,1712,218,13,1.73,Rotary Drilling,Suitable,Good
Kadapa,Site-0061,16.9801,78.1936,Sandstone,Fractured,167,17.81,97,7.25,901,287,15,0.92,Auger Drilling,Not Suitable,Moderate
Nellore,Site-0062,17.1394,80.3477,Shale,Confined,87,4.39,421,6.62,1929,263,14,0.95,Auger Drilling,Suitable,Poor
Krishna,Site-0063,14.0876,79.6583,Sandstone,Unconfined,96,10.7,299,6.73,1042,551,6,0.31,Down-the-Hole,Suitable,Good
East Godavari,Site-0064,17.6052,81.0365,Limestone,Confined,203,11.34,402,7.9,395,543,85,1.51,Auger Drilling,Not Suitable,Moderate
Nellore,Site-0065,13.8919,82.7851,Limestone,Unconfined,35,13.58,130,7.51,1161,607,22,0.33,Auger Drilling,Suitable,Moderate
Kurnool,Site-0066,14.9854,78.9471,Limestone,Confined,223,9.26,170,6.66,1109,686,58,0.36,Auger Drilling,Not Suitable,Moderate
Prakasam,Site-0067,13.7122,80.4816,Alluvium,Unconfined,82,9.26,68,7.61,200,193,78,1.93,Down-the-Hole,Not Suitable,Poor
East Godavari,Site-0068,14.2411,81.7003,Sandstone,Semi-confined,57,16.7,482,7.41,1347,734,77,1.05,Down-the-Hole,Not Suitable,Poor
Krishna,Site-0069,13.6841,82.3152,Basalt,Unconfined,204,8.39,374,8.43,797,660,67,0.87,Rotary Drilling,Not Suitable,Good
Kadapa,Site-0070,15.9545,82.7529,Alluvium,Fractured,84,6.58,150,6.88,1945,502,28,1.02,Percussion Drilling,Suitable,Poor
Prakasam,Site-0071,13.6466,79.9013,Alluvium,Unconfined,260,10.23,351,8.41,475,610,1,1.15,Rotary Drilling,Not Suitable,Poor
Nellore,Site-0072,18.0329,80.3805,Limestone,Confined,118,15.15,115,6.71,1546,714,78,1.79,Auger Drilling,Not Suitable,Moderate
West Godavari,Site-0073,18.4955,82.3366,Sandstone,Fractured,205,19.47,281,8.11,482,522,78,1.46,Down-the-Hole,Not Suitable,Poor
East Godavari,Site-0074,18.1642,81.9831,Limestone,Confined,132,5.77,415,7.08,907,788,17,1.97,Percussion Drilling,Suitable,Poor
East Godavari,Site-0075,17.1659,79.2567,Granite,Semi-confined,275,12.49,391,7.92,1580,646,37,1.78,Auger Drilling,Suitable,Good
East Godavari,Site-0076,13.6388,79.6661,Granite,Unconfined,132,6.81,452,6.82,786,799,33,0.46,Rotary Drilling,Suitable,Poor
Guntur,Site-0077,14.224,80.7882,Sandstone,Fractured,82,13.09,395,7.98,1971,329,96,1.36,Auger Drilling,Not Suitable,Good
East Godavari,Site-0078,17.7058,82.5918,Sandstone,Unconfined,225,8.98,453,8.45,840,665,7,0.22,Down-the-Hole,Not Suitable,Good
West Godavari,Site-0079,18.2131,83.0231,Shale,Confined,218,15.59,329,7.98,602,298,38,1.01,Rotary Drilling,Suitable,Good
Kadapa,Site-0080,17.4105,77.8355,Granite,Fractured,172,12.02,116,6.82,1932,361,1,0.8,Percussion Drilling,Suitable,Good
Kadapa,Site-0081,18.5718,81.1782,Alluvium,Semi-confined,281,16.22,331,7.22,1805,425,68,0.6,Percussion Drilling,Not Suitable,Poor
Chittoor,Site-0082,17.7175,78.1156,Limestone,Fractured,77,8.29,159,7.83,878,469,38,0.59,Auger Drilling,Suitable,Poor
Anantapur,Site-0083,13.6883,79.4221,Basalt,Confined,50,14.29,214,7.26,1830,216,50,0.66,Down-the-Hole,Not Suitable,Good
East Godavari,Site-0084,17.9327,79.6247,Limestone,Fractured,279,2.79,383,6.89,1252,184,13,0.5,Rotary Drilling,Suitable,Poor
Chittoor,Site-0085,14.2647,81.4066,Basalt,Fractured,83,5.7,474,7.91,1718,545,83,1.67,Rotary Drilling,Not Suitable,Poor
Kadapa,Site-0086,13.1425,82.0181,Granite,Unconfined,67,2.98,456,7.0,344,688,30,1.84,Auger Drilling,Suitable,Moderate
Krishna,Site-0087,16.7813,80.0312,Granite,Fractured,90,11.63,378,7.94,329,699,6,1.46,Rotary Drilling,Suitable,Moderate
East Godavari,Site-0088,13.6368,82.5082,Sandstone,Unconfined,174,15.77,274,7.26,1883,776,4,1.05,Percussion Drilling,Suitable,Good
Nellore,Site-0089,17.7806,82.9463,Sandstone,Confined,182,14.19,457,8.23,1526,482,2,1.2,Percussion Drilling,Not Suitable,Good
Anantapur,Site-0090,13.0302,81.1766,Limestone,Unconfined,186,5.78,429,8.31,904,316,53,1.83,Percussion Drilling,Not Suitable,Good
Kadapa,Site-0091,14.3247,82.8432,Basalt,Unconfined,122,14.08,340,8.2,1943,662,60,1.36,Rotary Drilling,Not Suitable,Moderate
Chittoor,Site-0092,14.5041,78.3819,Limestone,Fractured,199,8.43,393,7.81,404,391,80,0.33,Percussion Drilling,Not Suitable,Moderate
Krishna,Site-0093,15.7039,81.3144,Sandstone,Confined,216,16.54,269,6.84,841,352,29,1.48,Auger Drilling,Suitable,Moderate
Prakasam,Site-0094,13.8058,82.1308,Shale,Fractured,258,8.46,206,7.47,422,279,83,1.29,Down-the-Hole,Not Suitable,Good
East Godavari,Site-0095,14.1786,82.1348,Alluvium,Unconfined,68,18.06,484,7.51,263,695,75,0.93,Percussion Drilling,Not Suitable,Good
East Godavari,Site-0096,14.5637,83.2579,Limestone,Fractured,106,8.58,164,8.28,1407,397,18,1.04,Rotary Drilling,Not Suitable,Moderate
Prakasam,Site-0097,16.013,81.6387,Limestone,Confined,293,4.53,131,6.86,1358,775,19,1.52,Auger Drilling,Suitable,Moderate
Anantapur,Site-0098,14.3129,80.4135,Granite,Semi-confined,219,6.21,392,6.91,1820,469,50,1.05,Auger Drilling,Not Suitable,Good
Anantapur,Site-0099,18.8835,79.2685,Alluvium,Semi-confined,164,12.42,341,6.85,1538,487,47,1.26,Rotary Drilling,Suitable,Poor
Guntur,Site-0100,15.258,83.3507,Limestone,Fractured,210,16.71,226,7.47,1187,718,1,1.1,Percussion Drilling,Suitable,Moderate
Kadapa,Site-0101,14.3799,80.6018,Sandstone,Confined,106,5.36,235,7.7,1873,221,85,0.61,Down-the-Hole,Not Suitable,Poor
Chittoor,Site-0102,15.8891,80.3517,Basalt,Confined,240,2.4,72,6.76,1413,264,18,1.33,Rotary Drilling,Not Suitable,Poor
Kadapa,Site-0103,13.3355,78.8078,Basalt,Fractured,39,17.81,422,7.82,780,187,28,1.01,Auger Drilling,Suitable,Moderate
Kadapa,Site-0104,14.3162,79.8754,Basalt,Confined,291,6.76,420,7.87,1128,710,76,0.32,Auger Drilling,Not Suitable,Moderate
Kadapa,Site-0105,13.6514,78.4164,Limestone,Fractured,106,12.9,140,7.45,1459,714,5,1.78,Rotary Drilling,Suitable,Good
Krishna,Site-0106,16.9564,83.3139,Limestone,Unconfined,250,11.4,239,8.25,1628,642,55,0.61,Auger Drilling,Not Suitable,Moderate
Prakasam,Site-0107,16.5343,82.1898,Alluvium,Unconfined,247,4.41,294,8.03,1959,185,37,1.28,Auger Drilling,Not Suitable,Moderate
Kurnool,Site-0108,13.0328,82.2055,Granite,Unconfined,296,2.13,385,6.91,1847,423,53,0.85,Percussion Drilling,Not Suitable,Moderate
